PLAYER_NAME,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
Stephen Curry,3PT Field Goal,Above the Break 3,24,-188,153,0
Stephen Curry,3PT Field Goal,Above the Break 3,28,145,243,1
Stephen Curry,3PT Field Goal,Above the Break 3,27,50,272,1
Stephen Curry,2PT Field Goal,In The Paint (Non-RA),4,-45,0,0
Stephen Curry,3PT Field Goal,Right Corner 3,24,230,83,1
Stephen Curry,3PT Field Goal,Above the Break 3,25,-43,253,0
Stephen Curry,3PT Field Goal,Above the Break 3,25,174,193,0
Stephen Curry,2PT Field Goal,Restricted Area,1,4,17,1
Stephen Curry,3PT Field Goal,Above the Break 3,32,-32,323,1
Stephen Curry,2PT Field Goal,Mid-Range,15,-153,18,1
Stephen Curry,3PT Field Goal,Left Corner 3,23,-232,-9,1
Stephen Curry,3PT Field Goal,Above the Break 3,25,-185,176,0
Stephen Curry,3PT Field Goal,Above the Break 3,27,49,273,0
Stephen Curry,2PT Field Goal,Restricted Area,1,12,13,1
Stephen Curry,2PT Field Goal,Restricted Area,3,29,9,1
Stephen Curry,3PT Field Goal,Above the Break 3,27,176,215,0
Stephen Curry,3PT Field Goal,Above the Break 3,26,188,190,0
Stephen Curry,3PT Field Goal,Above the Break 3,26,49,262,1
Stephen Curry,3PT Field Goal,Above the Break 3,26,-33,267,1
Stephen Curry,2PT Field Goal,Restricted Area,1,7,8,1
Stephen Curry,2PT Field Goal,Restricted Area,2,22,12,0
Stephen Curry,3PT Field Goal,Above the Break 3,28,49,284,0
Stephen Curry,2PT Field Goal,Mid-Range,19,-121,149,1
Stephen Curry,2PT Field Goal,Mid-Range,19,-47,194,1
Stephen Curry,3PT Field Goal,Above the Break 3,26,-148,214,0
Stephen Curry,2PT Field Goal,In The Paint (Non-RA),4,48,1,0
Stephen Curry,3PT Field Goal,Above the Break 3,26,80,257,1
Stephen Curry,2PT Field Goal,Mid-Range,20,93,188,1
Stephen Curry,3PT Field Goal,Left Corner 3,23,-237,-5,1
Stephen Curry,3PT Field Goal,Above the Break 3,30,92,295,0
Stephen Curry,3PT Field Goal,Above the Break 3,27,-137,242,1
Stephen Curry,3PT Field Goal,Above the Break 3,26,96,248,0
Stephen Curry,3PT Field Goal,Above the Break 3,26,-44,262,0
Stephen Curry,3PT Field Goal,Above the Break 3,25,-138,209,1
Stephen Curry,3PT Field Goal,Above the Break 3,26,173,200,1
Stephen Curry,2PT Field Goal,Restricted Area,1,11,11,1
Stephen Curry,3PT Field Goal,Above the Break 3,25,-188,173,1
Stephen Curry,2PT Field Goal,Mid-Range,17,82,155,0
Stephen Curry,2PT Field Goal,Mid-Range,14,-103,100,0
Stephen Curry,3PT Field Goal,Above the Break 3,25,75,247,0
Stephen Curry,3PT Field Goal,Above the Break 3,27,-107,250,0
Stephen Curry,3PT Field Goal,Above the Break 3,25,-159,203,0
Stephen Curry,3PT Field Goal,Above the Break 3,24,5,248,1
Stephen Curry,2PT Field Goal,In The Paint (Non-RA),9,0,94,1
Stephen Curry,2PT Field Goal,Restricted Area,1,6,11,1
Stephen Curry,3PT Field Goal,Above the Break 3,37,0,374,0
Stephen Curry,3PT Field Goal,Right Corner 3,22,227,22,0
Stephen Curry,3PT Field Goal,Above the Break 3,26,-156,211,1
Stephen Curry,2PT Field Goal,Restricted Area,2,22,13,1
